% Electrical discharge machining, data 1, numeric
%
% For more info, see A. Karalic PhD

@relation edm1

@attribute ASM_A_MeanT numeric
@attribute ASD_A_SDevT numeric
@attribute BSM_B_MeanT numeric
@attribute BSD_B_SDevT numeric
@attribute CSM_C_MeanT numeric
@attribute CSD_C_SDevT numeric
@attribute ISM_I_MeanT numeric
@attribute ISD_I_SDevT numeric
@attribute ALM_A_MeanT numeric
@attribute ALD_A_SDevT numeric
@attribute BLM_B_MeanT numeric
@attribute BLD_B_SDevT numeric
@attribute CLM_C_MeanT numeric
@attribute CLD_C_SDevT numeric
@attribute ILM_I_MeanT numeric
@attribute ILD_I_SDevT numeric
@attribute DFlow numeric
@attribute DGap numeric

@data
-4.73,0.06,0.75,0.22,5.58,0.18,1.77,0.39,-4.69,0.13,0.64,0.26,5.64,0.21,2.07,0.58,1,0
-4.51,0.14,0.76,0.26,5.58,0.38,2.65,0.52,-4.58,0.20,0.71,0.28,5.74,0.27,2.33,0.63,1,0
-4.51,0.14,0.76,0.26,5.58,0.38,2.65,0.52,-4.58,0.20,0.71,0.28,5.74,0.27,2.33,0.63,1,0
-4.51,0.14,0.76,0.26,5.58,0.38,2.65,0.52,-4.58,0.20,0.71,0.28,5.74,0.27,2.33,0.63,1,0
-4.51,0.19,0.98,0.15,5.42,0.23,2.45,0.22,-4.53,0.13,0.97,0.20,5.51,0.27,2.62,0.30,0,-1
-4.63,0.02,1.13,0.00,5.18,0.08,2.60,0.04,-4.55,0.12,1.06,0.11,5.43,0.24,2.60,0.17,0,-1
-4.65,0.09,0.17,0.06,6.10,0.03,2.91,0.30,-4.58,0.09,0.76,0.39,5.76,0.26,2.74,0.28,1,0
-4.57,0.16,0.68,0.45,5.84,0.32,2.54,0.21,-4.56,0.10,0.76,0.40,5.76,0.29,2.74,0.30,1,0
-4.62,0.05,0.66,0.31,5.70,0.17,2.59,0.26,-4.58,0.10,0.68,0.40,5.80,0.26,2.69,0.30,0,1
-4.65,0.18,0.43,0.26,5.69,0.32,2.14,0.43,-4.60,0.13,0.58,0.38,5.78,0.30,2.56,0.41,0,1
-4.77,0.13,0.51,0.34,5.75,0.22,1.84,0.72,-4.70,0.13,0.56,0.28,5.70,0.24,2.20,0.53,0,1
-4.78,0.05,0.61,0.30,5.67,0.24,1.73,0.27,-4.77,0.09,0.52,0.31,5.74,0.23,1.94,0.55,0,1
-4.68,0.15,0.65,0.35,5.69,0.22,2.07,0.35,-4.76,0.12,0.55,0.33,5.74,0.23,1.89,0.58,1,0
-4.68,0.15,0.65,0.35,5.69,0.22,2.07,0.35,-4.76,0.12,0.55,0.33,5.74,0.23,1.89,0.58,1,0
-4.51,0.29,0.74,0.28,5.53,0.23,2.11,0.34,-4.72,0.21,0.57,0.32,5.70,0.25,1.87,0.56,1,0
-4.51,0.29,0.74,0.28,5.53,0.23,2.11,0.34,-4.72,0.21,0.57,0.32,5.70,0.25,1.87,0.56,1,0
-4.51,0.29,0.74,0.28,5.53,0.23,2.11,0.34,-4.72,0.21,0.57,0.32,5.70,0.25,1.87,0.56,1,0
-4.51,0.29,0.74,0.28,5.53,0.23,2.11,0.34,-4.72,0.21,0.57,0.32,5.70,0.25,1.87,0.56,1,0
-4.52,0.09,1.06,0.03,5.11,0.00,2.02,0.11,-4.62,0.20,0.82,0.32,5.43,0.34,2.10,0.37,0,-1
-4.44,0.11,1.02,0.04,5.11,0.00,1.83,0.10,-4.55,0.19,0.91,0.26,5.31,0.29,2.13,0.32,0,-1
-4.60,0.09,1.09,0.05,5.10,0.00,2.07,0.27,-4.53,0.17,1.03,0.13,5.17,0.14,2.14,0.28,0,-1
-4.58,0.07,1.10,0.05,5.22,0.07,2.39,0.41,-4.56,0.10,1.11,0.05,5.29,0.13,2.57,0.34,0,0
-4.68,0.07,0.33,0.13,5.98,0.07,2.45,0.61,-4.59,0.09,0.77,0.33,5.83,0.26,2.73,0.37,1,0
-4.83,0.07,0.27,0.17,5.90,0.08,1.15,0.31,-4.69,0.12,0.57,0.35,5.83,0.22,2.08,0.80,0,1
-4.54,0.04,1.11,0.02,5.66,0.16,2.84,0.02,-4.53,0.07,1.04,0.12,5.69,0.17,2.79,0.15,0,0
-4.72,0.10,0.66,0.16,5.65,0.15,1.55,0.24,-4.64,0.13,0.80,0.33,5.64,0.26,2.26,0.60,0,0
-4.86,0.10,0.42,0.31,5.79,0.22,1.20,0.50,-4.74,0.15,0.56,0.31,5.74,0.24,1.86,0.70,1,0
-4.79,0.10,0.39,0.21,5.78,0.18,1.43,0.55,-4.71,0.11,0.57,0.27,5.75,0.20,2.01,0.62,0,1
-4.58,0.02,1.07,0.11,5.55,0.05,2.80,0.04,-4.60,0.02,1.10,0.07,5.24,0.18,2.61,0.20,0,0
-4.48,0.19,1.03,0.06,5.20,0.11,2.23,0.37,-4.56,0.12,1.10,0.05,5.16,0.07,2.45,0.28,0,0
-4.55,0.10,1.10,0.04,5.13,0.01,2.46,0.27,-4.59,0.07,1.11,0.03,5.15,0.04,2.55,0.29,0,-1
-4.62,0.04,1.12,0.02,5.12,0.00,2.47,0.20,-4.56,0.12,1.10,0.06,5.19,0.14,2.44,0.26,0,-1
-4.74,0.04,0.52,0.11,5.77,0.11,1.86,0.17,-4.66,0.13,0.73,0.27,5.63,0.24,2.24,0.51,0,1
-4.72,0.09,0.62,0.25,5.62,0.22,1.89,0.38,-4.74,0.06,0.59,0.21,5.72,0.19,1.92,0.32,0,1
-4.71,0.05,0.65,0.26,5.60,0.27,2.33,0.23,-4.71,0.07,0.61,0.27,5.68,0.23,2.02,0.53,0,1
-4.51,0.11,1.09,0.03,5.12,0.00,2.23,0.16,-4.56,0.11,1.10,0.04,5.13,0.04,2.36,0.17,0,-1
-4.58,0.04,1.12,0.02,5.12,0.00,2.39,0.12,-4.56,0.11,1.10,0.06,5.13,0.05,2.18,0.30,0,-1
-4.62,0.02,1.13,0.00,5.31,0.05,2.78,0.04,-4.61,0.09,1.07,0.13,5.39,0.22,2.53,0.38,0,0
-4.38,0.39,0.96,0.16,5.42,0.05,2.42,0.48,-4.59,0.26,0.87,0.32,5.45,0.27,2.27,0.58,0,0
-4.60,0.05,1.11,0.02,5.26,0.20,2.43,0.28,-4.60,0.07,1.10,0.05,5.26,0.15,2.64,0.25,0,0
-4.62,0.01,1.13,0.00,5.15,0.07,2.39,0.35,-4.58,0.11,1.09,0.08,5.16,0.08,2.42,0.36,0,-1
-4.65,0.01,1.13,0.00,5.15,0.03,2.57,0.07,-4.58,0.05,1.07,0.10,5.48,0.22,2.69,0.18,0,-1
-4.82,0.08,0.51,0.31,5.68,0.30,1.27,0.24,-4.63,0.24,0.71,0.33,5.73,0.25,2.10,0.79,0,1
-4.53,0.09,1.08,0.05,5.56,0.19,2.68,0.20,-4.56,0.09,1.07,0.11,5.47,0.29,2.62,0.21,0,0
-4.66,0.09,0.55,0.13,5.81,0.14,2.36,0.38,-4.62,0.06,0.97,0.25,5.41,0.25,2.62,0.27,0,0
-4.59,0.03,0.99,0.17,5.60,0.28,2.81,0.16,-4.79,0.14,0.51,0.39,5.79,0.27,1.61,0.77,0,0
-4.64,0.01,1.13,0.00,5.12,0.01,2.71,0.00,-4.63,0.09,1.03,0.26,5.30,0.24,2.50,0.57,0,0
-4.56,0.01,1.06,0.09,5.67,0.11,2.88,0.05,-4.58,0.06,0.97,0.21,5.57,0.20,2.75,0.23,0,0
-4.62,0.02,1.06,0.11,5.41,0.15,2.78,0.08,-4.61,0.08,0.92,0.24,5.51,0.24,2.55,0.40,0,0
-4.87,0.18,0.16,0.25,5.99,0.24,1.36,0.72,-4.67,0.16,0.80,0.42,5.55,0.33,2.40,0.72,0,0
-4.96,0.02,0.04,0.02,6.10,0.02,0.81,0.06,-4.73,0.19,0.58,0.47,5.69,0.37,2.05,0.94,0,1
-4.43,0.25,1.06,0.13,5.44,0.33,2.50,0.31,-4.57,0.15,1.04,0.17,5.40,0.24,2.75,0.23,0,0
-4.60,0.03,1.04,0.11,5.51,0.24,2.82,0.05,-4.59,0.09,1.08,0.10,5.36,0.19,2.70,0.17,0,0
-4.65,0.06,0.66,0.21,5.60,0.09,2.06,0.46,-4.67,0.10,0.72,0.39,5.65,0.26,2.18,0.72,0,1
-4.67,0.07,0.64,0.19,5.60,0.13,2.11,0.36,-4.68,0.10,0.59,0.33,5.71,0.22,2.01,0.66,1,0
-4.88,0.04,0.23,0.12,5.95,0.09,1.32,0.40,-4.74,0.11,0.48,0.27,5.74,0.22,1.82,0.51,0,1
-4.51,0.10,1.07,0.06,5.12,0.01,2.22,0.31,-4.59,0.09,1.04,0.17,5.21,0.22,2.31,0.30,0,-1
-4.60,0.07,1.11,0.02,5.11,0.00,2.32,0.12,-4.57,0.08,1.10,0.04,5.13,0.04,2.33,0.26,0,-1
-4.57,0.08,1.09,0.06,5.12,0.01,2.35,0.24,-4.62,0.05,1.11,0.05,5.13,0.04,2.50,0.19,0,-1
-4.65,0.01,1.13,0.00,5.15,0.03,2.71,0.04,-4.62,0.05,1.12,0.03,5.13,0.02,2.57,0.20,0,-1
-4.75,0.05,0.48,0.10,5.76,0.10,1.61,0.37,-4.65,0.09,0.81,0.25,5.50,0.22,2.25,0.50,0,0
-4.94,0.05,0.21,0.12,6.02,0.09,1.17,0.45,-4.81,0.10,0.43,0.29,5.84,0.22,1.62,0.59,0,1
-4.62,0.01,1.14,0.00,5.12,0.00,2.60,0.05,-4.62,0.02,1.12,0.05,5.18,0.09,2.64,0.19,0,0
-4.64,0.00,1.14,0.00,5.12,0.01,2.72,0.02,-4.64,0.02,1.12,0.04,5.15,0.08,2.62,0.19,0,-1
-4.86,0.12,0.36,0.31,5.85,0.25,1.09,0.35,-4.73,0.13,0.79,0.42,5.48,0.36,2.17,0.85,0,1
-4.77,0.07,0.45,0.19,5.80,0.14,1.78,0.34,-4.71,0.12,0.58,0.30,5.76,0.21,2.05,0.55,0,1
-4.72,0.16,0.40,0.25,5.82,0.19,1.68,0.39,-4.77,0.11,0.45,0.24,5.79,0.19,1.61,0.38,0,1
-4.64,0.01,1.13,0.01,5.16,0.07,2.67,0.09,-4.61,0.10,0.91,0.29,5.39,0.33,2.44,0.32,0,-1
-4.64,0.01,1.14,0.00,5.13,0.00,2.64,0.02,-4.64,0.01,1.14,0.01,5.13,0.03,2.63,0.05,0,-1
-4.64,0.01,1.14,0.00,5.17,0.02,2.75,0.01,-4.64,0.01,1.14,0.00,5.17,0.03,2.74,0.03,0,0
-4.83,0.04,0.33,0.16,5.86,0.13,0.96,0.14,-4.72,0.12,0.70,0.44,5.57,0.35,1.95,0.91,0,0
-4.83,0.04,0.28,0.07,5.93,0.04,1.09,0.20,-4.75,0.12,0.61,0.43,5.64,0.35,1.80,0.89,0,1
-4.61,0.02,1.12,0.01,5.12,0.00,2.47,0.09,-4.60,0.03,1.12,0.02,5.13,0.04,2.41,0.17,0,0
-4.57,0.06,1.12,0.01,5.13,0.01,2.43,0.06,-4.61,0.05,1.12,0.03,5.12,0.01,2.43,0.21,0,-1
-4.64,0.01,1.14,0.00,5.12,0.00,2.73,0.06,-4.63,0.02,1.13,0.04,5.13,0.04,2.62,0.17,0,-1
-4.87,0.06,0.15,0.08,6.03,0.11,1.54,0.52,-4.71,0.11,0.67,0.40,5.69,0.30,2.25,0.52,0,1
-4.62,0.01,1.14,0.00,5.12,0.00,2.64,0.02,-4.62,0.02,1.14,0.00,5.13,0.04,2.63,0.09,0,0
-4.65,0.01,1.13,0.00,5.11,0.00,2.59,0.03,-4.65,0.02,1.13,0.02,5.12,0.02,2.57,0.14,0,-1
-4.69,0.04,0.61,0.26,5.72,0.21,2.39,0.42,-4.73,0.06,0.56,0.18,5.74,0.15,1.91,0.39,0,0
-4.70,0.07,0.69,0.17,5.75,0.13,2.31,0.22,-4.71,0.06,0.61,0.22,5.74,0.18,2.03,0.44,0,1
-4.76,0.09,0.38,0.18,5.91,0.05,1.93,0.62,-4.73,0.08,0.51,0.26,5.82,0.19,2.19,0.47,0,1
-4.67,0.12,0.60,0.28,5.66,0.19,2.17,0.61,-4.75,0.11,0.45,0.24,5.83,0.18,1.85,0.61,1,0
-4.64,0.01,1.13,0.00,5.13,0.01,2.80,0.04,-4.65,0.01,1.13,0.01,5.12,0.01,2.72,0.05,0,0
-4.64,0.01,1.14,0.00,5.15,0.02,2.82,0.02,-4.64,0.01,1.13,0.01,5.13,0.02,2.73,0.06,0,-1
-4.65,0.01,1.14,0.01,5.12,0.01,2.75,0.07,-4.65,0.01,1.14,0.01,5.13,0.03,2.67,0.10,0,-1
-4.81,0.09,0.38,0.17,5.80,0.16,1.02,0.32,-4.71,0.12,0.75,0.40,5.49,0.36,2.10,0.88,0,0
-4.61,0.10,0.88,0.24,5.40,0.21,2.25,0.65,-4.78,0.13,0.45,0.32,5.79,0.28,1.45,0.67,0,0
-4.56,0.15,1.05,0.12,5.30,0.18,2.71,0.14,-4.62,0.09,1.04,0.14,5.36,0.24,2.72,0.12,0,0
-4.82,0.09,0.32,0.20,5.94,0.11,1.29,0.51,-4.82,0.08,0.33,0.19,5.87,0.14,1.30,0.49,0,0
-4.64,0.00,1.13,0.00,5.15,0.02,2.75,0.01,-4.68,0.10,0.80,0.32,5.49,0.32,2.28,0.49,0,0
-4.81,0.04,0.28,0.15,5.90,0.14,1.23,0.13,-4.75,0.10,0.60,0.39,5.64,0.33,1.78,0.71,0,0
-4.64,0.02,1.12,0.02,5.12,0.00,2.48,0.09,-4.65,0.08,0.92,0.29,5.39,0.29,2.35,0.44,0,0
-4.65,0.00,1.13,0.00,5.15,0.03,2.78,0.02,-4.68,0.09,0.82,0.36,5.48,0.33,2.28,0.65,0,0
-4.61,0.01,1.13,0.00,5.27,0.07,2.67,0.06,-4.65,0.08,0.97,0.23,5.40,0.24,2.30,0.44,0,0
-4.81,0.10,0.37,0.36,5.82,0.35,1.54,0.53,-4.71,0.12,0.68,0.41,5.64,0.35,2.16,0.68,0,0
-4.64,0.01,1.14,0.00,5.12,0.00,2.64,0.05,-4.64,0.01,1.13,0.04,5.13,0.04,2.63,0.12,0,0
-4.56,0.07,0.95,0.12,5.53,0.15,2.71,0.12,-4.62,0.06,0.94,0.20,5.51,0.19,2.53,0.19,0,0
-4.89,0.06,0.24,0.19,5.96,0.14,1.04,0.11,-4.77,0.14,0.45,0.30,5.82,0.20,1.73,0.78,0,1
-4.73,0.12,0.39,0.18,5.80,0.14,1.46,0.36,-4.76,0.12,0.52,0.35,5.74,0.27,1.70,0.63,0,0
-4.65,0.00,1.13,0.00,5.13,0.01,2.66,0.02,-4.69,0.09,0.88,0.36,5.37,0.35,2.30,0.60,0,0
-4.62,0.02,1.13,0.00,5.25,0.08,2.77,0.09,-4.54,0.22,1.10,0.10,5.29,0.20,2.70,0.16,0,0
-4.68,0.07,0.68,0.16,5.71,0.07,2.21,0.35,-4.69,0.06,0.64,0.25,5.66,0.16,2.13,0.46,0,0
-4.71,0.05,0.47,0.29,5.78,0.24,2.00,0.28,-4.76,0.09,0.49,0.27,5.78,0.21,1.64,0.53,0,1
-4.83,0.13,0.38,0.28,5.84,0.25,1.43,0.77,-4.69,0.11,0.94,0.35,5.31,0.33,2.30,0.64,0,0
-4.71,0.04,0.53,0.13,5.72,0.08,1.90,0.32,-4.63,0.12,0.92,0.30,5.32,0.27,2.39,0.39,0,1
-4.64,0.00,1.13,0.00,5.12,0.00,2.66,0.03,-4.64,0.01,1.13,0.00,5.12,0.01,2.63,0.11,0,-1
-4.66,0.02,1.13,0.00,5.12,0.01,2.56,0.07,-4.65,0.01,1.13,0.00,5.12,0.01,2.61,0.06,0,-1
-4.73,0.08,0.72,0.34,5.62,0.30,1.97,0.63,-4.67,0.06,1.03,0.25,5.26,0.26,2.55,0.46,0,0
-4.81,0.10,0.23,0.12,5.92,0.08,1.02,0.12,-4.78,0.08,0.41,0.20,5.81,0.13,1.47,0.53,0,0
-4.57,0.13,1.10,0.06,5.12,0.01,2.40,0.19,-4.61,0.07,1.12,0.03,5.12,0.02,2.57,0.22,0,0
-4.64,0.02,1.13,0.00,5.12,0.00,2.55,0.06,-4.62,0.03,1.13,0.01,5.12,0.00,2.47,0.14,0,0
-4.58,0.10,1.11,0.03,5.13,0.01,2.42,0.08,-4.62,0.06,1.13,0.02,5.12,0.01,2.57,0.10,0,-1
-4.65,0.01,1.13,0.00,5.12,0.01,2.66,0.00,-4.64,0.03,1.13,0.01,5.13,0.04,2.59,0.23,0,-1
-4.71,0.04,0.47,0.22,5.86,0.15,2.08,0.19,-4.76,0.07,0.44,0.24,5.85,0.19,1.77,0.47,0,1
-4.68,0.03,0.77,0.25,5.62,0.17,2.20,0.41,-4.70,0.04,0.65,0.27,5.71,0.22,2.09,0.31,0,1
-4.75,0.05,0.44,0.08,5.83,0.06,1.67,0.26,-4.72,0.08,0.54,0.23,5.74,0.19,1.93,0.43,0,1
-4.71,0.06,0.45,0.12,5.83,0.11,1.98,0.33,-4.74,0.06,0.47,0.20,5.79,0.19,1.81,0.39,0,1
-4.65,0.02,1.13,0.00,5.12,0.01,2.72,0.05,-4.66,0.06,0.90,0.33,5.35,0.33,2.38,0.44,0,-1
-4.64,0.01,1.13,0.00,5.12,0.00,2.64,0.07,-4.65,0.05,0.98,0.29,5.28,0.29,2.46,0.38,0,-1
-4.65,0.01,1.13,0.00,5.14,0.02,2.77,0.02,-4.64,0.01,1.13,0.01,5.13,0.03,2.62,0.17,0,0
-4.64,0.02,1.13,0.00,5.12,0.00,2.35,0.06,-4.64,0.11,0.99,0.27,5.27,0.26,2.33,0.46,0,0
-4.66,0.01,1.13,0.00,5.13,0.01,2.70,0.01,-4.65,0.01,1.13,0.00,5.14,0.04,2.69,0.07,0,0
-4.71,0.12,0.43,0.19,5.83,0.19,1.75,0.51,-4.65,0.10,0.79,0.29,5.51,0.29,2.39,0.50,0,0
-4.63,0.00,1.13,0.00,5.13,0.01,2.73,0.04,-4.64,0.08,0.97,0.22,5.33,0.23,2.41,0.46,0,0
-4.79,0.06,0.42,0.30,5.79,0.18,1.43,0.48,-4.76,0.10,0.66,0.43,5.56,0.37,1.86,0.76,0,0
-4.70,0.06,0.75,0.14,5.61,0.16,2.29,0.21,-4.66,0.04,1.03,0.18,5.25,0.22,2.51,0.22,0,0
-4.65,0.02,1.13,0.00,5.13,0.02,2.80,0.06,-4.63,0.02,1.13,0.00,5.13,0.01,2.71,0.09,0,0
-4.65,0.02,1.13,0.00,5.14,0.03,2.81,0.04,-4.63,0.02,1.13,0.01,5.15,0.05,2.74,0.08,0,0
-4.64,0.03,1.11,0.04,5.16,0.04,2.65,0.04,-4.65,0.03,1.09,0.08,5.17,0.05,2.60,0.24,0,0
-4.64,0.01,1.12,0.01,5.17,0.06,2.84,0.07,-4.65,0.08,0.98,0.28,5.29,0.27,2.49,0.53,0,0
-4.63,0.01,1.13,0.00,5.13,0.01,2.73,0.01,-4.63,0.01,1.13,0.00,5.14,0.02,2.69,0.09,0,0
-4.62,0.01,1.13,0.00,5.12,0.00,2.51,0.02,-4.63,0.01,1.13,0.00,5.12,0.01,2.61,0.10,0,-1
-4.63,0.01,1.13,0.00,5.29,0.06,2.77,0.00,-4.61,0.02,1.09,0.09,5.34,0.18,2.75,0.10,0,1
-4.65,0.01,1.13,0.00,5.23,0.05,2.78,0.01,-4.62,0.02,1.13,0.01,5.25,0.07,2.76,0.07,0,1
