@relation 'SeeClickFix-weka.filters.unsupervised.attribute.Reorder-R10,9,11,2,3,4,5,8,6,7-weka.filters.unsupervised.attribute.Remove-R6,7-weka.filters.unsupervised.attribute.Add-NdaysUntilLastIssue-Cfirst-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Add-TNOM-Ncity-LOakland,Chicago,NH,Richmond-C6-weka.filters.unsupervised.attribute.Add-NdistanceFromCenter-C7-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3,7,8,10,11,12,13,14,15,16,17,18,19,20,22,24,26,27,28,29,31,32,34,35,36,37,38,39,42,43,45,46,47,48,49,52-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement'

@attribute daysUntilLastIssue numeric
@attribute source=city_initiated numeric
@attribute source=android numeric
@attribute source=remote_api_created numeric
@attribute source=new_map_widget numeric
@attribute source=iphone numeric
@attribute tag_type=tree numeric
@attribute tag_type=street_light numeric
@attribute tag_type=graffiti numeric
@attribute tag_type=pothole numeric
@attribute tag_type=signs numeric
@attribute tag_type=overgrowth numeric
@attribute tag_type=traffic numeric
@attribute tag_type=trash numeric
@attribute tag_type=blighted_property numeric
@attribute tag_type=sidewalk numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute city=Oakland numeric
@attribute city=Chicago numeric
@attribute city=NH numeric
@attribute city=Richmond numeric
@attribute distanceFromCenter numeric
@attribute num_views numeric
@attribute num_votes numeric
@attribute num_comments numeric

@data
327,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.702896,-87.670859,0,1,0,0,0.679262,1,1,0
302,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.789746,-87.711745,0,1,0,0,0.414615,34,2,0
312,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.956797,-87.778124,0,1,0,0,0.490132,0,1,0
272,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.843145,-87.729384,0,1,0,0,0.312444,0,1,0
273,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.815265,-122.292571,1,0,0,0,0.066649,8,1,0
295,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.896712,-87.625614,0,1,0,0,0.050074,1,1,0
294,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.931465,-87.753962,0,1,0,0,0.384956,0,1,0
299,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.907702,-87.754679,0,1,0,0,0.355119,0,1,0
306,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.896309,-87.652635,0,1,0,0,0.077967,0,1,0
291,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.920291,-87.774141,0,1,0,0,0.419977,0,1,0
264,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.992359,-87.655457,0,1,0,0,0.409058,0,1,0
306,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.984977,-87.717485,0,1,0,0,0.44631,0,1,0
323,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.89627,-87.655236,0,1,0,0,0.083723,2,1,0
357,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.993794,-87.71531,0,1,0,0,0.471119,0,1,0
461,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.469761,-77.441875,0,0,0,1,0.320284,6,2,0
281,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.719191,-87.637086,0,1,0,0,0.609766,1,1,0
272,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.872946,-87.754806,0,1,0,0,0.34643,1,1,0
263,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.720497,-87.551049,0,1,0,0,0.642859,0,1,0
390,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,37.572604,-77.420192,0,0,0,1,0.075649,28,2,0
321,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.821631,-87.694621,0,1,0,0,0.290734,0,1,0
330,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.920426,-87.759723,0,1,0,0,0.382737,0,1,0
571,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.560946,-77.469973,0,0,0,1,0.103853,17,2,0
272,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.933772,-87.715115,0,1,0,0,0.29925,0,1,0
328,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.91872,-87.748961,0,1,0,0,0.352779,2,1,0
285,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.884477,-87.630935,0,1,0,0,0.003926,1,1,0
484,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.792412,-122.202126,1,0,0,0,0.228325,135,1,0
325,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.966733,-87.695338,0,1,0,0,0.356745,0,1,0
285,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,41.317934,-72.950827,0,0,1,0,0.064541,16,3,0
404,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.902003,-87.624373,0,1,0,0,0.069939,0,1,0
327,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.885785,-87.622308,0,1,0,0,0.022941,0,1,0
433,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,37.516463,-77.489091,0,0,0,1,0.215849,50,5,1
286,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.957471,-87.774479,0,1,0,0,0.4832,1,1,0
608,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.529211,-77.410059,0,0,0,1,0.123761,25,2,0
295,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.730076,-87.551257,0,1,0,0,0.609375,0,1,0
319,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.972416,-87.678302,0,1,0,0,0.35495,0,1,0
311,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.940947,-87.657781,0,1,0,0,0.225783,1,1,0
328,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.955927,-87.706857,0,1,0,0,0.341529,1,1,0
522,0,0,0,1,0,?,?,?,?,?,?,?,?,?,?,37.574328,-77.425365,0,0,0,1,0.07377,4,2,0
260,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.922832,-87.712281,0,1,0,0,0.269301,1,1,0
509,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,37.51787,-77.494405,0,0,0,1,0.224237,48,3,0
434,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37.817209,-122.285932,1,0,0,0,0.045923,15,5,1
329,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.542127,-77.468623,0,0,0,1,0.110929,3,2,0
313,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.858104,-87.722454,0,1,0,0,0.27189,4,1,0
322,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.784721,-87.613591,0,1,0,0,0.369396,0,1,0
287,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.941984,-87.704024,0,1,0,0,0.297278,0,1,0
293,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.899495,-87.663641,0,1,0,0,0.109672,0,1,0
288,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.932096,-87.697618,0,1,0,0,0.258791,3,1,0
309,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.848073,-87.707585,0,1,0,0,0.251214,0,1,0
285,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.703718,-87.536494,0,1,0,0,0.715222,0,1,0
330,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.838352,-87.729253,0,1,0,0,0.321053,1,1,0
318,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.858496,-87.652204,0,1,0,0,0.111335,1,1,0
284,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.851949,-87.646474,0,1,0,0,0.125795,1,1,0
304,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.909804,-87.676554,0,1,0,0,0.160768,0,1,0
428,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,41.316586,-72.908767,0,0,1,0,0.053846,0,1,0
313,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.758408,-87.61512,0,1,0,0,0.465942,3,1,0
530,?,?,?,?,?,0,0,0,0,0,0,0,0,1,0,37.502946,-77.440843,0,0,0,1,0.197381,7,3,0
299,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.718383,-87.644349,0,1,0,0,0.61372,0,1,0
262,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.931027,-87.66835,0,1,0,0,0.20496,0,1,0
279,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.730076,-87.616367,0,1,0,0,0.570378,0,1,0
286,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.857794,-87.666138,0,1,0,0,0.138055,0,1,0
297,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.742011,-87.613058,0,1,0,0,0.526984,0,1,0
287,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.666244,-87.627086,0,1,0,0,0.805751,0,1,0
334,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,41.317159,-72.915458,0,0,1,0,0.035825,68,2,0
549,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.540725,-77.436048,0,0,0,1,0.056707,18,2,0
324,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.691314,-87.668515,0,1,0,0,0.720651,1,1,0
312,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.811436,-87.599304,0,1,0,0,0.280738,1,1,0
540,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.550597,-77.407363,0,0,0,1,0.084168,7,2,0
278,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.704824,-87.659602,0,1,0,0,0.667708,1,1,0
368,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,37.551956,-77.535097,0,0,0,1,0.293981,2,2,0
269,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.976033,-87.679404,0,1,0,0,0.368524,0,1,0
433,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.490119,-77.471014,0,0,0,1,0.26597,6,2,0
330,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.900553,-87.63135,0,1,0,0,0.062854,0,1,0
566,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,41.316046,-72.927593,0,0,1,0,0.004207,143,6,2
454,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,37.471665,-77.440898,0,0,0,1,0.313073,5,2,0
383,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,37.816783,-122.274373,1,0,0,0,0.018931,0,1,0
312,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.848068,-87.683084,0,1,0,0,0.196867,0,1,0
275,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.787678,-87.692412,0,1,0,0,0.395063,0,1,0
276,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.848522,-87.678197,0,1,0,0,0.185882,1,1,0
304,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.801059,-87.689907,0,1,0,0,0.347737,0,1,0
270,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.659397,-87.632859,0,1,0,0,0.831122,0,1,0
441,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.576354,-77.496097,0,0,0,1,0.194207,33,4,0
285,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.945326,-87.734079,0,1,0,0,0.366827,0,1,0
371,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.496565,-77.473633,0,0,0,1,0.247631,2,2,0
290,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,41.309854,-72.927885,0,0,1,0,0.01889,3,2,0
532,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,37.851035,-122.239916,1,0,0,0,0.143414,98,2,0
311,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.749137,-87.68649,0,1,0,0,0.52224,3,1,0
301,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.760502,-87.589629,0,1,0,0,0.469831,0,1,0
482,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.571774,-77.435343,0,0,0,1,0.058435,9,2,0
275,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.791519,-87.666951,0,1,0,0,0.356224,0,1,0
344,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,41.306698,-72.929181,0,0,1,0,0.030766,52,2,1
302,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.679321,-87.6444,0,1,0,0,0.75827,0,1,0
311,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.793835,-87.68598,0,1,0,0,0.36683,1,1,0
269,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.786097,-87.712897,0,1,0,0,0.427725,0,2,0
451,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,41.313926,-72.911507,0,0,1,0,0.046033,100,5,1
272,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.807776,-87.731119,0,1,0,0,0.396022,0,1,0
591,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.518221,-77.453209,0,0,0,1,0.149749,12,2,0
453,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37.798594,-122.216367,1,0,0,0,0.180743,34,1,0
262,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.851766,-87.675828,0,1,0,0,0.17284,1,1,0
294,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37.793266,-122.180901,1,0,0,0,0.283601,14,2,1
363,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,37.532316,-77.40712,0,0,0,1,0.120469,1,2,0
417,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,37.540905,-77.526903,0,0,0,1,0.275292,51,2,0
372,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.517461,-77.497052,0,0,0,1,0.231262,5,2,0
279,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.813044,-122.291026,1,0,0,0,0.065738,79,2,1
332,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.780847,-87.694659,0,1,0,0,0.420596,0,1,0
571,?,?,?,?,?,0,0,0,1,0,0,0,0,0,0,37.537302,-77.472661,0,0,0,1,0.130151,13,3,0
292,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.851875,-87.697433,0,1,0,0,0.219976,0,1,0
412,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,37.503525,-77.438533,0,0,0,1,0.194781,17,2,0
342,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37.793194,-122.266228,1,0,0,0,0.104678,5,3,0
476,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,37.51337,-77.495667,0,0,0,1,0.237872,30,2,0
312,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.760641,-87.60174,0,1,0,0,0.462506,1,1,0
348,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.825281,-87.706929,0,1,0,0,0.302905,0,1,0
406,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.515224,-77.396938,0,0,0,1,0.188379,4,2,0
577,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.538647,-77.463266,0,0,0,1,0.104657,10,2,0
287,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37.746258,-122.183067,1,0,0,0,0.378903,21,1,0
287,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.956735,-87.669117,0,1,0,0,0.291582,1,1,0
315,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.802979,-87.682053,0,1,0,0,0.331546,0,1,0
323,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,41.318081,-72.91144,0,0,1,0,0.047501,52,2,1
300,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.716218,-87.569631,0,1,0,0,0.64258,0,1,0
277,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.71842,-87.569299,0,1,0,0,0.634944,0,1,0
277,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.792349,-87.781806,0,1,0,0,0.538477,4,1,0
322,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.854577,-87.671012,0,1,0,0,0.15602,1,1,0
273,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.928676,-87.715878,0,1,0,0,0.289623,0,1,0
300,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.750246,-87.671921,0,1,0,0,0.507676,0,1,0
423,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.57156,-77.434309,0,0,0,1,0.057697,10,2,0
369,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.514457,-77.457967,0,0,0,1,0.167944,11,2,0
299,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.704547,-87.684058,0,1,0,0,0.680282,0,1,0
286,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.780312,-87.699519,0,1,0,0,0.428232,0,1,0
322,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.806891,-87.656594,0,1,0,0,0.29366,0,1,0
311,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.947656,-87.797288,0,1,0,0,0.518629,1,1,0
414,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37.81821,-122.253679,1,0,0,0,0.052101,23,1,0
284,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.912542,-87.732522,0,1,0,0,0.302227,3,1,0
291,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.763166,-87.707668,0,1,0,0,0.495217,0,1,0
261,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.77152,-87.712984,0,1,0,0,0.474394,0,1,0
531,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,37.593514,-77.458373,0,0,0,1,0.15481,18,2,0
607,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37.54631,-77.472602,0,0,0,1,0.115691,52,3,0
301,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.800953,-87.593934,0,1,0,0,0.32227,1,1,0
329,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.538659,-77.538313,0,0,0,1,0.309822,7,2,0
324,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.768996,-87.634762,0,1,0,0,0.425053,0,1,0
372,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.922926,-87.643821,0,1,0,0,0.150523,1,1,0
284,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,37.510768,-77.50054,0,0,0,1,0.254997,27,2,0
341,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.809146,-87.689348,0,1,0,0,0.320879,0,1,0
328,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.848884,-87.701494,0,1,0,0,0.235404,2,1,0
277,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.802165,-87.741789,0,1,0,0,0.431591,1,1,0
469,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.553492,-77.459027,0,0,0,1,0.070688,14,2,0
504,?,?,?,?,?,0,0,0,1,0,0,0,0,0,0,41.303885,-72.920208,0,0,1,0,0.046379,57,5,2
314,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.554598,-77.472511,0,0,0,1,0.109815,1,2,0
280,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.794334,-87.703582,0,1,0,0,0.388202,1,1,0
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.571251,-77.434856,0,0,0,1,0.056503,16,2,0
519,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,37.548952,-77.400325,0,0,0,1,0.105711,12,2,0
376,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.89933,-87.765555,0,1,0,0,0.378259,0,1,0
414,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.576704,-77.436745,0,0,0,1,0.076844,2,2,0
490,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,37.534611,-77.412699,0,0,0,1,0.103226,13,4,1
482,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,37.806461,-122.275238,1,0,0,0,0.055884,60,1,0
270,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.905544,-87.638417,0,1,0,0,0.084438,1,1,0
399,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.523085,-77.473559,0,0,0,1,0.166176,14,2,0
354,?,?,?,?,?,0,0,0,1,0,0,0,0,0,0,37.831774,-122.208149,1,0,0,0,0.188362,36,2,0
322,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.929242,-87.794193,0,1,0,0,0.483213,2,1,0
315,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.747791,-87.590536,0,1,0,0,0.515179,0,1,0
