@relation 'JURA-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,7,9,10,11,5,6,8-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute Xloc numeric
@attribute Yloc numeric
@attribute Landuse=1 numeric
@attribute Landuse=2 numeric
@attribute Landuse=3 numeric
@attribute Landuse=4 numeric
@attribute Rock=1 numeric
@attribute Rock=2 numeric
@attribute Rock=3 numeric
@attribute Rock=4 numeric
@attribute Rock=5 numeric
@attribute Cr numeric
@attribute Ni numeric
@attribute Pb numeric
@attribute Zn numeric
@attribute Cd numeric
@attribute Co numeric
@attribute Cu numeric

@data
3.648,3.78,0,0,1,0,0,1,0,0,0,28.56,24.44,63.2,78,0.62,14.16,48.8
2.916,4.916,1,0,0,0,1,0,0,0,0,27.92,13.88,37.16,46.8,0.885,6.28,4.52
3.127,1.691,0,0,1,0,0,1,0,0,0,45.2,35.12,93.92,123.84,1.96,13.4,47.12
3.441,4.719,0,1,0,0,0,0,0,0,1,62.4,24.28,55.6,151.6,3.155,9.28,48.8
3.336,4.613,0,0,1,0,0,0,0,0,1,38.52,23.28,49.2,81.6,1.28,5.92,24.96
3.649,2.674,1,0,0,0,0,1,0,0,0,23.72,17.72,58.4,58,1.785,7.44,9.652
3.875,4.924,0,0,1,0,0,0,0,0,1,52,26.72,35.6,141.6,1.895,11.48,25.28
2.612,4.114,0,0,1,0,1,0,0,0,0,27.32,7.44,58.4,47.6,0.57,4.88,33.8
2.34,4.141,0,0,1,0,1,0,0,0,0,35.72,10.6,36.88,53.2,0.54,5.48,17.4
3.811,1.318,0,0,1,0,0,1,0,0,0,36.2,26.6,39.8,80.8,0.75,12.6,16.4
3.661,3.788,0,0,1,0,0,1,0,0,0,28.88,20.8,69.6,76.4,0.875,14.64,65.2
4.34,3.736,0,1,0,0,0,0,1,0,0,35.04,21.96,46,80.8,2.818,11.24,29.12
2.972,0.988,0,1,0,0,0,0,1,0,0,67.04,28.88,229.56,219.32,3.805,9.16,112.04
2.286,3.068,0,0,1,0,0,0,1,0,0,27.32,12.8,56.6,67.16,0.605,9.68,28.8
1.813,2.116,0,0,1,0,0,0,1,0,0,33.48,20.56,48.8,110,1.003,11.32,21.2
3.379,4.308,0,0,1,0,0,0,0,0,1,46.4,24.8,36.44,83.6,1.9,8.52,10.28
1.965,2.807,0,0,1,0,0,0,1,0,0,41.6,24.16,89.68,102.44,0.895,12.6,60.72
3.559,4.009,0,1,0,0,0,0,1,0,0,60.8,21.96,52,101.6,4.02,6.16,21.08
2.267,4.189,0,0,1,0,1,0,0,0,0,35.12,11.12,39.64,57.2,0.56,6.64,12.72
2.965,1.002,0,1,0,0,0,0,1,0,0,45.6,24.6,129.2,149.2,1.39,10.36,57.2
3.12,1.469,1,0,0,0,0,0,1,0,0,31.12,8,69.16,50.4,1.91,2.12,11.6
3.454,4.654,0,1,0,0,0,0,0,0,1,38.24,19.92,29.88,70.8,1.07,7.8,10.88
1.071,1.567,0,1,0,0,0,0,1,0,0,29.08,15.28,37.48,65.6,0.795,9.96,9.92
3.573,3.542,0,0,1,0,0,0,0,0,1,26.6,16,77.2,76,0.55,9.56,50.4
3.331,4.609,0,0,1,0,0,0,0,0,1,42.8,25.44,80.4,101.6,1.255,7,49.6
3.541,1.739,0,0,0,1,0,0,1,0,0,29.8,20.8,43.6,59.36,2.055,6.32,10.8
3.303,3.963,0,0,1,0,0,0,1,0,0,34.04,20.32,80.8,90,1.22,11,51.6
3.316,2.987,0,0,1,0,0,0,0,0,1,33,23.6,48.8,83.2,0.975,14.6,30.1
1.879,1.171,0,0,1,0,1,0,0,0,0,24.64,9.16,54.8,44.4,0.465,4,23.32
1.122,2.267,0,0,1,0,0,1,0,0,0,37.08,31.56,47.6,74.4,1.145,11.08,14.8
4.423,1.078,0,0,1,0,0,0,0,0,1,38.6,26.8,46.8,87.6,1.525,16.92,22
1.241,1.155,1,0,0,0,1,0,0,0,0,20.2,12.68,36.52,39.6,1.455,4.52,7.28
1.706,1.848,0,0,1,0,0,0,1,0,0,34.84,19.96,41.2,83.2,1.12,11.92,20.72
3.26,5.42,0,0,1,0,0,1,0,0,0,38.04,28.6,35.8,82.4,1.819,11.72,17.6
4.081,0.897,0,0,1,0,0,0,0,0,1,22.4,10.92,32.76,50.4,0.495,11.2,14.32
3.077,2.926,0,1,0,0,0,1,0,0,0,35.32,21.52,42.4,64.8,2.12,10.12,12.32
3.406,4.741,0,1,0,0,0,0,0,0,1,48,19.72,42.8,120.8,2.15,7.32,28.96
3.699,3.8,0,0,1,0,0,1,0,0,0,27.44,19.28,80.8,74,0.65,11.6,35.56
1.619,2.883,0,0,1,0,0,0,1,0,0,30.56,16.08,50.4,58.8,0.84,6.8,22.84
3.196,1.814,1,0,0,0,0,1,0,0,0,25.6,26.12,84.16,92.36,3.925,12.92,47.4
3.447,4.733,0,1,0,0,0,0,0,0,1,40.8,17.68,39.92,108,1.98,8.4,27.12
3.009,4.738,0,0,1,0,1,0,0,0,0,25.64,10,34,39.4,0.45,3.536,12.44
3.452,4.736,0,1,0,0,0,0,0,0,1,45.2,15,70.4,148.4,2.96,7.2,38.96
2.908,1.263,0,0,1,0,1,0,0,0,0,31.28,14.72,34.56,84.32,1.685,9.84,9.4
4.578,1.512,0,0,1,0,0,1,0,0,0,45.52,27.2,38.96,77.6,1.305,13.52,17.5
3.512,5.124,0,1,0,0,1,0,0,0,0,48.4,22.92,34.64,136.8,4.227,9.64,16.88
3.312,2.991,0,0,1,0,0,0,0,0,1,32.6,19.4,41.6,72.8,0.98,12.52,22.7
2.159,2.041,0,0,1,0,0,1,0,0,0,37.72,28.32,49.6,81.6,1.57,10.44,17.44
4.742,1.381,0,0,1,0,0,1,0,0,0,32.72,23.48,32.84,63.6,0.86,11.88,15.12
3.592,4.027,0,1,0,0,0,0,1,0,0,55.2,29.48,37.68,74.4,2.17,10.84,12.52
3.152,3.272,0,0,1,0,0,1,0,0,0,42.6,23.52,76.4,94,1.56,12.8,34
4.781,1.375,0,0,1,0,0,1,0,0,0,27.44,20.84,36.28,58.8,0.81,10.88,12.08
2.319,2.405,0,0,1,0,0,0,0,0,1,43.4,26.96,104.68,125.4,1.71,12.84,56.24
3.617,2.084,0,0,1,0,0,1,0,0,0,33.72,26.2,78.8,79.6,0.845,12.8,27.92
2.278,0.929,0,0,1,0,1,0,0,0,0,19.36,6.56,35.4,46.8,0.357,4.08,13.24
3.792,2.695,1,0,0,0,0,1,0,0,0,20.32,13.4,55.2,52.4,1.535,6.76,5.88
4.113,2.7,1,0,0,0,0,1,0,0,0,8.72,7.16,84.4,65.2,1.285,1.552,13.64
3.043,4.698,0,0,1,0,1,0,0,0,0,27.36,10.44,27.04,39.8,1.82,3.924,7.6
3.271,2.16,0,0,1,0,0,0,0,0,1,37.8,32.6,59.04,104.36,0.945,13.32,37.4
1.433,1.525,0,0,1,0,0,0,0,0,1,67.6,16.2,49.6,75.2,1.605,7.36,13.48
3.184,2.098,0,0,1,0,0,1,0,0,0,37.8,37.72,44.88,96.6,2.23,11.92,24.6
3.675,4.293,0,1,0,0,0,0,1,0,0,37.68,22.96,26.76,66,0.89,8.6,4.4
3.681,5.69,0,1,0,0,0,1,0,0,0,54,28.36,59.2,86,1.898,12.64,15.16
2.461,3.423,0,0,0,1,0,0,0,0,1,22.6,6.08,29.36,47.2,0.37,3.14,15.72
4.576,1.411,0,0,1,0,0,1,0,0,0,37.6,25.76,34.44,71.6,1.38,11.28,15.64
2.223,0.58,0,0,1,0,0,1,0,0,0,38,24.52,44,76,0.285,9.6,14.16
3.031,1.201,0,0,1,0,0,0,1,0,0,21.84,10.36,52.56,51.24,0.61,6.44,16.4
3.347,2.505,1,0,0,0,0,1,0,0,0,33.2,19.2,41.2,43.6,0.625,6.96,5.36
2.465,4.003,0,0,1,0,1,0,0,0,0,21.4,4.72,24.64,35.08,0.325,3.192,9.72
3.175,2.102,0,0,1,0,0,1,0,0,0,38.4,37.2,42.68,89.84,1.985,12.2,18.92
3.733,0.974,0,0,1,0,0,1,0,0,0,40.8,26.52,36.6,74,0.95,8.92,15.4
3.085,1.677,0,0,1,0,0,1,0,0,0,40.4,29.8,63.92,107.2,2.04,11.8,26.2
2.595,3.638,0,0,1,0,0,0,0,0,1,14.52,4.76,44.4,40.8,0.325,3.712,17.52
4.279,3.283,0,0,1,0,0,1,0,0,0,33.6,24.64,36.36,84.4,0.83,13.36,19.2
2.933,0.978,0,1,0,0,0,0,1,0,0,31.44,16,146.8,100.4,0.8,12.4,166.4
3.59,4.033,0,1,0,0,0,0,1,0,0,56.4,24.84,37.56,79.6,2.08,7.92,11.52
2.883,1.237,0,0,1,0,1,0,0,0,0,31.24,16.12,36.56,96.96,2.55,8.52,12.12
2.429,1.62,0,0,1,0,0,0,1,0,0,52.4,26.64,77.6,126.8,2.535,11.84,31.96
2.333,2.417,0,0,1,0,0,0,0,0,1,37.44,21.32,107.6,110.32,1.435,9.12,53.2
0.626,1.652,1,0,0,0,0,1,0,0,0,33.32,14.4,37.12,46.4,0.375,7.28,4.2
2.969,0.778,0,1,0,0,0,1,0,0,0,43.04,33.76,157.28,166.28,1.93,12.44,77.32
0.971,1.576,0,0,1,0,0,0,1,0,0,29.28,15.2,35.64,64,1.215,10.08,9.8
1.392,1.846,0,0,1,0,0,0,1,0,0,39.24,20,37.68,48.4,1.05,10.6,7.44
2.54,3.32,0,0,1,0,0,0,1,0,0,45.32,17.6,53.6,62.8,1.26,9.76,17.2
1.738,1.771,0,0,1,0,0,0,1,0,0,33.64,16.24,41.6,76,0.685,11.92,19.64
2.243,3.031,0,0,1,0,0,0,1,0,0,29.92,14.6,34,59.88,0.705,11.8,19.2
3.656,2.63,1,0,0,0,0,1,0,0,0,9.72,5.36,80.4,49.2,1.385,2.072,9.232
2.325,4.143,0,0,1,0,1,0,0,0,0,34,10.92,33.24,54.4,0.505,5.48,14
4.55,1.416,0,0,1,0,0,1,0,0,0,44.32,27.72,41.6,73.6,1.74,12.4,18.1
4.325,1.436,0,0,1,0,0,0,0,0,1,26.92,13.72,36.76,57.2,0.56,11.6,19.4
3.669,4.291,0,1,0,0,0,0,1,0,0,33.48,18.72,35.12,59.6,1.917,8.44,8.4
1.877,1.186,0,0,1,0,1,0,0,0,0,18.2,6.44,45.2,39.88,0.32,3.8,26.16
3.044,1.123,0,0,1,0,0,0,1,0,0,31.28,18.68,38.24,80.76,0.63,12,18.04
3.001,2.581,0,1,0,0,0,1,0,0,0,45.32,22.2,42.04,81.72,4.18,9.6,8.2
3.136,2.091,0,0,1,0,0,1,0,0,0,34.8,30.32,38.72,79,1.11,14.2,17.92
2.633,3.65,0,0,1,0,0,0,0,0,1,22.12,5.04,50.4,61.6,0.425,3.092,16.2
3.721,4.239,0,0,1,0,0,0,1,0,0,25.96,12.28,41.2,46.4,0.28,8,18
2.333,2.367,0,0,1,0,0,0,0,0,1,42.12,28.2,101.92,135.88,1.39,12.36,59.16
4.038,2.354,1,0,0,0,0,0,0,1,0,39.2,32.92,44,65.6,2.805,12.2,10.5
3.117,1.702,0,0,1,0,0,1,0,0,0,42.8,35,58.6,106.36,1.71,14.12,30
1.824,0.999,0,0,1,0,1,0,0,0,0,18.6,7.08,56.4,44,0.165,3.752,23.64
2.85,1.89,1,0,0,0,0,1,0,0,0,10.76,7.08,53.6,28.88,1.36,2.816,8.68
2.502,3.988,0,0,1,0,1,0,0,0,0,18.92,5.2,22.36,32.24,0.24,3.76,20.72
1.443,1.509,0,0,1,0,0,0,0,0,1,61.2,20.68,50.8,75.6,1.445,7.76,15.4
2.008,1.35,0,0,1,0,1,0,0,0,0,32.56,8.96,35.04,50.4,0.515,5,16.04
2.978,4.009,0,0,1,0,0,0,0,0,1,24.4,12.4,25.4,49.2,0.56,6.52,8.352
1.662,1.425,0,0,1,0,0,0,1,0,0,37.4,16.56,82,78.4,0.905,11.24,44.4
1.587,1.08,0,0,1,0,1,0,0,0,0,29.28,11.44,54,54,0.605,5.16,26.24
3.994,3.814,0,0,1,0,0,0,0,0,1,45.6,28.32,80.4,84,2.423,14.48,32.52
4.383,2.279,1,0,0,0,0,1,0,0,0,35.92,22.72,43.6,60.8,0.785,7.84,6.72
2.901,4.919,1,0,0,0,1,0,0,0,0,28.6,14.92,28.8,42,0.81,4.64,5.48
4.156,1.242,0,1,0,0,0,0,0,1,0,32.2,17.92,32.48,44,1.1,7.84,5.72
4.475,3.526,0,0,0,1,0,1,0,0,0,29.24,20.36,78.8,70.8,0.951,15.28,38.96
2.58,3.654,0,0,1,0,0,0,0,0,1,16.2,4.64,20.2,33.44,0.275,3.552,7.48
0.701,1.997,1,0,0,0,0,0,1,0,0,60.8,32.2,64.8,86,1.58,12.6,9.84
3.649,3.887,0,0,1,0,0,1,0,0,0,41.6,29.24,51.2,80.8,1.06,11.48,26.44
2.623,0.853,0,0,1,0,0,0,1,0,0,45.2,27.36,59.2,106.4,2.58,11.64,29.24
1.315,1.975,0,1,0,0,0,0,1,0,0,52,28.72,56.4,89.6,3.68,11.12,14.44
3.656,2.67,1,0,0,0,0,1,0,0,0,36.12,25.4,70,65.2,1.875,11.12,9.52
4.426,0.821,0,1,0,0,0,1,0,0,0,48.32,26,27.2,61.6,0.805,13,8.76
2.882,3.693,0,0,1,0,0,0,0,0,1,20.8,5.4,27.04,32.92,0.535,4.6,8.76
1.108,1.535,0,1,0,0,0,0,1,0,0,50.4,23.16,195.6,108,2.055,8.08,60
4.84,1.089,0,1,0,0,0,1,0,0,0,27.64,19.6,36.52,64.8,0.555,10.28,10.8
1.468,2.192,0,1,0,0,0,0,1,0,0,57.6,30.68,44.4,80.4,1.51,10.92,10.88
2.319,4.103,0,0,1,0,1,0,0,0,0,36,10.92,34.88,50.4,0.58,5.48,20.52
3.585,4.04,0,1,0,0,0,0,1,0,0,51.2,25.76,66,99.2,1.97,8,24.64
3.647,3.786,0,0,1,0,0,1,0,0,0,29.72,20.96,70.8,90.8,0.765,13.84,42
2.31,2.732,0,1,0,0,0,1,0,0,0,39,23.24,39.2,79.04,0.735,12.72,17.68
3.962,2.009,0,0,1,0,0,1,0,0,0,43.52,34.4,78.4,104.4,1.445,12.4,42.92
3.47,5.555,0,1,0,0,0,1,0,0,0,45.2,29.68,48.4,64,2.234,13.48,12.52
1.839,0.995,0,0,1,0,1,0,0,0,0,24.88,10.12,55.6,56,0.225,4.24,27.72
1.706,1.165,0,0,1,0,1,0,0,0,0,20.4,8.68,60.8,62.4,0.74,4.36,25.52
2.774,1.544,0,1,0,0,0,0,1,0,0,42.32,20.64,45.72,90.24,1.915,8.44,19.32
3.493,5.092,0,1,0,0,1,0,0,0,0,52.4,20.44,34.32,134.4,3.421,9.8,14.8
1.695,3.227,1,0,0,0,1,0,0,0,0,35.08,21.44,56.68,97.48,1.835,5.88,10.88
4.409,1.084,0,0,1,0,0,0,0,0,1,37.72,27,48.8,89.2,1.77,17.32,18.92
2.596,3.212,0,1,0,0,0,0,1,0,0,49.72,22,45.16,118.24,3.995,8.64,15.92
1.897,1.22,0,0,1,0,1,0,0,0,0,16.24,4.76,27,27.2,0.26,3.48,9.24
2.083,1.695,1,0,0,0,0,1,0,0,0,29.28,16.68,56.4,54.8,0.44,6,11.28
3.673,4.278,0,1,0,0,0,0,1,0,0,44,19.28,34,70.4,1.015,9.28,7.36
2.731,3.002,1,0,0,0,0,1,0,0,0,27.32,20.92,32.44,57.96,0.485,9,6.6
4.264,3.391,0,0,1,0,0,1,0,0,0,32.64,24.96,135.2,132.8,2.828,11.16,79.2
3.792,2.707,1,0,0,0,0,1,0,0,0,26.92,17.12,45.6,55.2,1.38,8.16,6.44
3.39,1.048,0,1,0,0,0,1,0,0,0,42.92,29.32,57.28,123.32,1.66,10.12,24.6
3.184,5.075,0,0,1,0,0,0,1,0,0,33.76,16.32,23.68,53.6,0.685,7.08,11.36
3.644,2.677,1,0,0,0,0,1,0,0,0,37.4,23.12,51.2,56.4,0.93,9.56,6.772
3.504,5.13,0,1,0,0,1,0,0,0,0,39.24,18.28,36.8,135.6,5.129,8.6,14.76
2.242,3.036,0,0,1,0,0,0,1,0,0,26.32,12.72,34.08,56.72,0.725,10.32,17
3.332,4.628,0,1,0,0,0,0,0,0,1,35.92,17.2,59.2,83.2,0.74,4.52,96
3.498,3.196,0,1,0,0,0,1,0,0,0,32.8,22.92,36.24,65.6,0.99,15.12,14.5
1.883,1.176,0,0,1,0,1,0,0,0,0,21.8,7.52,49.6,43.2,0.195,3.92,25.12
3.322,3.001,0,0,1,0,0,0,0,0,1,35,23.12,44.4,81.2,1.34,14.32,25.3
1.047,1.922,0,1,0,0,0,0,1,0,0,43.6,22.52,52,83.2,1.24,14.2,18.32
3.843,3.121,0,0,1,0,0,0,0,0,1,39.52,35.28,44.4,86,1.84,10.8,33.32
1.301,0.599,0,0,0,1,0,0,1,0,0,32.84,18,64.8,75.2,0.91,13.24,21.2
1.106,1.548,0,1,0,0,0,0,1,0,0,52.8,19.44,65.2,65.2,1.27,9.16,19.12
1.114,1.535,0,1,0,0,0,0,1,0,0,58.8,26.16,226.4,140.4,1.48,9.12,106.8
1.511,0.734,0,1,0,0,1,0,0,0,0,47.2,21.96,64.4,71.2,1.245,7.84,22.64
1.317,1.501,0,0,1,0,0,0,0,0,1,42.8,19.64,66.4,94.8,1.385,6.44,120.8
1.439,1.523,0,0,1,0,0,0,0,0,1,54.8,16.52,52.4,75.6,1.72,7.24,16.4
1.651,1.157,0,0,0,1,1,0,0,0,0,20.84,8.36,46.4,49.6,0.525,3.88,26.28
1.701,1.169,0,0,1,0,1,0,0,0,0,23.48,9.04,52.4,45.6,0.69,4.24,17.04
1.857,0.659,0,1,0,0,0,0,1,0,0,52.8,24.44,118,124.8,3.53,10.08,66
1.346,1.954,0,1,0,0,0,0,1,0,0,39.04,20.24,38.12,69.2,0.93,10.56,9
1.354,1.966,0,1,0,0,0,0,1,0,0,43.6,24,38.32,59.6,1.165,10.72,8.64
1.35,1.97,0,1,0,0,0,0,1,0,0,60.8,27.08,64.8,102,3.81,10.12,17.92
1.932,1.004,0,0,1,0,1,0,0,0,0,15.08,5.24,37,32.56,0.135,4.52,10.44
1.837,1.037,0,0,1,0,1,0,0,0,0,23,8.16,46.8,44,0.215,3.88,23.44
1.69,1.858,0,0,1,0,0,0,1,0,0,38.72,22.36,54.8,91.6,1.775,12.96,29.76
1.72,1.833,0,0,1,0,0,0,1,0,0,31.68,15.96,50,76.8,0.585,11.6,24.36
1.543,2.537,0,0,1,0,0,1,0,0,0,45.2,28.72,52.4,104,1.563,10.4,26.72
2.353,1.274,0,0,1,0,1,0,0,0,0,15.4,4.2,32.56,37.88,0.275,4.32,8.24
1.889,2.462,1,0,0,0,0,1,0,0,0,48.4,31.04,65.2,78.4,2.505,10.2,12.16
2.327,2.417,0,0,1,0,0,0,0,0,1,39.72,22.6,116.48,123,1.385,9.68,58.72
2.504,1.965,0,1,0,0,0,1,0,0,0,41.84,25.64,62.36,80.32,1.79,10.44,19.92
2.599,1.996,0,0,1,0,0,1,0,0,0,43.08,53.2,172.12,133.88,2.115,13.16,61.32
2.561,1.984,0,1,0,0,0,1,0,0,0,51.36,42.92,63.16,77.4,1.63,13.56,18.08
2.898,1.274,0,0,1,0,1,0,0,0,0,32.76,15,38.28,99.6,2.7,6.52,15.56
2.902,1.263,0,0,1,0,1,0,0,0,0,39.16,22.64,32.92,101.68,4.495,10.32,10.24
3.085,1.214,0,0,1,0,0,0,1,0,0,18.52,11.28,68.4,86.2,0.765,7.68,37.6
3.046,1.205,0,0,1,0,0,0,1,0,0,21.64,13.36,32.76,44,0.4,11.16,9.6
3.025,1.201,0,0,1,0,0,0,1,0,0,18.52,7.2,40.2,43.72,0.32,5.6,12.92
2.04,3.153,0,0,1,0,1,0,0,0,0,16.56,8.24,41.88,51.24,0.655,5,17.2
2.234,2.737,0,1,0,0,0,1,0,0,0,39.28,24.44,47.8,71.12,1.11,14.6,10.28
2.22,2.732,0,1,0,0,0,1,0,0,0,43.48,23.88,44.4,62.28,0.77,12.28,16
2.224,2.728,0,1,0,0,0,1,0,0,0,46.84,27.44,41.04,85.52,1.205,13.8,11.36
2.58,2.311,0,1,0,0,0,1,0,0,0,40.16,23.92,51.24,77.56,1.555,8.84,15.4
2.254,3.045,0,0,1,0,0,0,1,0,0,27.12,13.2,54.28,66.92,0.575,9.68,31.8
2.656,2.656,0,0,1,0,0,1,0,0,0,26.12,18,138.56,91.48,0.525,12.52,79.2
3.465,1.393,0,0,1,0,0,0,1,0,0,28.72,17.6,86.68,96.6,0.705,12.52,48.72
2.553,3.314,0,0,1,0,0,0,1,0,0,38.72,15.72,38,60.12,0.99,8.8,9.28
2.538,3.314,0,0,1,0,0,0,1,0,0,50.6,17.32,90.36,81.6,1.655,8.96,31.52
2.402,3.979,0,0,1,0,1,0,0,0,0,30.12,8.2,26.96,43.2,0.515,4.08,13.12
2.456,3.99,0,0,1,0,1,0,0,0,0,26.32,4.92,27.68,37.16,0.35,3.272,11.6
2.537,3.768,0,0,1,0,1,0,0,0,0,18.2,5.68,26.84,32.08,0.23,3.792,8.72
2.584,3.649,0,0,1,0,0,0,0,0,1,18,5.6,48.4,44.8,0.305,3.72,17.12
3.887,1.663,0,0,1,0,0,1,0,0,0,40.72,32.4,56.8,85.6,1.535,15.2,29.6
4.412,1.088,0,0,1,0,0,0,0,0,1,39.52,26.4,47.6,80.8,1.53,17.72,17.72
2.795,3.645,0,0,1,0,0,0,0,0,1,17.32,6.32,37.76,27.12,0.3,4.24,13.4
2.837,3.679,0,0,1,0,0,0,0,0,1,22.72,8,22.56,31.48,0.425,5.08,4.68
2.832,3.676,0,0,1,0,0,0,0,0,1,26.12,11.8,18.96,28.92,0.36,6.68,4.44
3.308,2.963,0,0,1,0,0,0,0,0,1,36,23.92,50,78.4,1.06,17.32,28
3.422,2.851,0,0,1,0,0,0,1,0,0,38.72,26.2,70.4,94.8,0.9,9.52,49
3.692,2.43,1,0,0,0,0,1,0,0,0,19.4,8.76,42.8,31.16,1.61,5,9.44
4.331,1.449,0,0,1,0,0,0,0,0,1,29.2,18.72,37.88,61.2,0.95,12,19.6
4.333,1.455,0,0,1,0,0,0,0,0,1,29.8,16.72,63.2,67.6,0.82,10.32,32.1
4.502,1.167,0,0,1,0,0,0,0,0,1,28.4,20.12,37.08,61.6,0.86,12.12,12.7
3.228,3.617,0,0,1,0,0,1,0,0,0,47.4,24,80.4,90,1.835,13.32,45.92
3.768,2.775,1,0,0,0,0,1,0,0,0,26.32,17.52,31.88,45.2,0.22,10.8,6.672
3.768,2.675,1,0,0,0,0,1,0,0,0,41.32,28.8,46.8,56.8,1.095,12.12,6.2
3.798,2.694,1,0,0,0,0,1,0,0,0,32.8,19.12,51.2,54,0.995,9.68,5.38
4.59,1.414,0,0,1,0,0,1,0,0,0,35.2,21.92,30.76,64.8,0.96,11.72,16.4
4.571,1.407,0,0,1,0,0,1,0,0,0,38.64,26.4,38.4,70.8,1.4,10.72,15.24
4.745,1.372,0,0,1,0,0,1,0,0,0,35.64,23.68,34.12,66.4,0.69,11.96,16.44
4.788,1.647,0,0,1,0,0,1,0,0,0,34.08,26.72,32.68,63.2,0.72,8.8,11.4
2.974,4.937,0,1,0,0,1,0,0,0,0,36.44,21.52,36.28,77.6,2.26,5.88,12.64
2.906,4.922,1,0,0,0,1,0,0,0,0,20.32,13.2,21.6,32.84,1.13,4.32,5.92
3.109,4.729,0,0,1,0,1,0,0,0,0,22.68,8.88,28.56,42.4,0.645,3.124,8.4
3.04,4.713,0,0,1,0,1,0,0,0,0,23.96,9.36,26,36.64,0.63,3.668,7.24
3.919,3.466,0,0,1,0,0,0,0,0,1,28.4,17.48,28.6,58.8,0.86,9.76,12.8
4.189,3.045,0,0,1,0,0,0,0,1,0,46.4,20.32,67.6,90.4,1.645,8.08,35.6
3.652,4.312,1,0,0,0,0,0,1,0,0,51.2,27.72,56,98,3.149,10.72,8.24
3.894,3.805,0,0,1,0,0,0,0,0,1,29,20.12,91.2,79.2,0.552,14.32,50
3.917,3.773,0,0,1,0,0,0,0,0,1,30.36,22.28,43.6,71.6,1.568,13.56,18.4
3.925,3.779,0,0,1,0,0,0,0,0,1,29.2,21,29.68,59.6,0.855,14.24,11.4
